24/11/2020 20:33:20 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:34:58 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:44:35 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:45:31 Se conecto con ip:127.0.0.1 SE: 77391571
9/12/2020 10:42:28 Se conecto con ip:127.0.0.1 SE: 77391571
15/12/2020 09:31:26 Se conecto con ip:127.0.0.1 SE: 77391571
18/1/2021 11:31:51 Transporto a Snow hacia Mapa161 X:40 Y:36
18/1/2021 11:31:51 Transporto a Snow hacia Mapa161 X:35 Y:30
18/1/2021 11:31:51 Transporto a Snow hacia Mapa161 X:39 Y:24
18/1/2021 11:31:53 Transporto a Snow hacia Mapa161 X:48 Y:21
18/1/2021 11:31:54 Transporto a Snow hacia Mapa161 X:56 Y:20
18/1/2021 11:31:56 Transporto a Snow hacia Mapa161 X:62 Y:24
18/1/2021 11:31:57 Transporto a Snow hacia Mapa161 X:64 Y:30
18/1/2021 11:31:57 Transporto a Snow hacia Mapa161 X:66 Y:36
18/1/2021 11:31:57 Transporto a Snow hacia Mapa161 X:67 Y:42
18/1/2021 11:31:58 Transporto a Snow hacia Mapa161 X:65 Y:46
18/1/2021 11:31:58 Transporto a Snow hacia Mapa161 X:63 Y:51
18/1/2021 11:31:58 Transporto a Snow hacia Mapa161 X:64 Y:57
18/1/2021 11:31:59 Transporto a Snow hacia Mapa161 X:72 Y:56
18/1/2021 11:32:00 Transporto a Snow hacia Mapa161 X:77 Y:57
18/1/2021 11:32:00 Transporto a Snow hacia Mapa161 X:84 Y:58
18/1/2021 11:32:03 Transporto a Snow hacia Mapa162 X:28 Y:27
18/1/2021 11:32:03 Transporto a Snow hacia Mapa162 X:38 Y:28
18/1/2021 11:32:04 Transporto a Snow hacia Mapa162 X:46 Y:28
18/1/2021 11:32:04 Transporto a Snow hacia Mapa162 X:52 Y:27
18/1/2021 11:32:04 Transporto a Snow hacia Mapa162 X:54 Y:22
18/1/2021 11:32:05 Transporto a Snow hacia Mapa162 X:53 Y:16
18/1/2021 11:32:05 Transporto a Snow hacia Mapa162 X:52 Y:12
18/1/2021 11:32:05 Transporto a Snow hacia Mapa162 X:54 Y:13
18/1/2021 11:32:05 Transporto a Snow hacia Mapa162 X:58 Y:18
18/1/2021 11:32:05 Transporto a Snow hacia Mapa162 X:62 Y:24
18/1/2021 11:32:06 Transporto a Snow hacia Mapa162 X:60 Y:29
18/1/2021 11:32:06 Transporto a Snow hacia Mapa162 X:56 Y:33
18/1/2021 11:32:06 Transporto a Snow hacia Mapa162 X:50 Y:36
18/1/2021 11:32:07 Transporto a Snow hacia Mapa162 X:47 Y:39
18/1/2021 11:32:16 Transporto a Snow hacia Mapa147 X:50 Y:50
18/1/2021 11:32:16 Transporto a Snow hacia Mapa147 X:46 Y:49
18/1/2021 11:32:17 Transporto a Snow hacia Mapa147 X:41 Y:45
18/1/2021 11:32:18 Transporto a Snow hacia Mapa147 X:38 Y:49
18/1/2021 11:32:38 Transporto a Snow hacia Mapa79 X:50 Y:50
18/1/2021 11:32:39 Transporto a Snow hacia Mapa79 X:50 Y:54
18/1/2021 11:33:01 Transporto a Snow hacia Mapa90 X:50 Y:50
18/1/2021 11:33:01 Transporto a Snow hacia Mapa90 X:46 Y:55
18/1/2021 11:33:02 Transporto a Snow hacia Mapa90 X:40 Y:54
18/1/2021 11:33:29 Transporto a Snow hacia Mapa91 X:32 Y:73
18/1/2021 11:33:29 Transporto a Snow hacia Mapa91 X:36 Y:67
18/1/2021 11:33:30 Transporto a Snow hacia Mapa91 X:39 Y:61
18/1/2021 11:33:31 Transporto a Snow hacia Mapa91 X:32 Y:61
18/1/2021 11:33:32 Transporto a Snow hacia Mapa91 X:23 Y:58
18/1/2021 11:33:32 Transporto a Snow hacia Mapa91 X:22 Y:51
18/1/2021 11:33:33 Transporto a Snow hacia Mapa91 X:21 Y:44
18/1/2021 11:33:33 Transporto a Snow hacia Mapa91 X:22 Y:38
18/1/2021 11:33:34 Transporto a Snow hacia Mapa91 X:26 Y:32
18/1/2021 11:33:34 Transporto a Snow hacia Mapa91 X:32 Y:30
18/1/2021 11:33:34 Transporto a Snow hacia Mapa91 X:39 Y:32
18/1/2021 11:33:34 Transporto a Snow hacia Mapa91 X:45 Y:36
18/1/2021 11:33:34 Transporto a Snow hacia Mapa91 X:51 Y:40
18/1/2021 11:33:35 Transporto a Snow hacia Mapa91 X:55 Y:38
18/1/2021 11:33:36 Transporto a Snow hacia Mapa91 X:61 Y:35
